LSOA code,LSOA name,LONG__y,LAT_y,LSOA IMD Score
E01009216,Birmingham 131D,-1.96263,52.3944,29.53
E01009217,Birmingham 131E,-1.95695,52.3925,14.527
E01009218,Birmingham 120D,-1.95881,52.4158,23.74
E01009219,Birmingham 120E,-1.96863,52.4137,34.897
E01009220,Birmingham 008A,-1.89677,52.5569,30.254
E01009221,Birmingham 007A,-1.88245,52.5563,29.954
E01009222,Birmingham 008B,-1.89546,52.5545,52.312
E01009223,Birmingham 013A,-1.90857,52.5491,26.378
E01009224,Birmingham 008C,-1.8918,52.552,23.741
E01009225,Birmingham 013B,-1.89977,52.5492,38.464
E01009226,Birmingham 017A,-1.88889,52.5476,25.027
E01009227,Birmingham 013C,-1.8938,52.542,22.275
E01009228,Birmingham 013D,-1.89835,52.5434,24.259
E01009229,Birmingham 017B,-1.89093,52.5381,24.869
E01009230,Birmingham 017C,-1.88581,52.5388,22.964
E01009231,Birmingham 017D,-1.8828,52.5354,22.745
E01009232,Birmingham 022D,-1.8845,52.5289,31.692
E01009233,Birmingham 008D,-1.88786,52.5591,46.501
E01009234,Birmingham 019A,-1.90676,52.5345,23.899
E01009235,Birmingham 016A,-1.9258,52.5365,22.706
E01009236,Birmingham 019B,-1.91109,52.5373,23.288
E01009237,Birmingham 024A,-1.92478,52.5327,33.166
E01009238,Birmingham 024B,-1.91721,52.5337,30.546
E01009239,Birmingham 033F,-1.89358,52.5223,37.061
E01009240,Birmingham 024C,-1.9201,52.5272,22.415
E01009241,Birmingham 024D,-1.91354,52.5266,24.596
E01009242,Birmingham 024E,-1.90872,52.5218,28.542
E01009243,Birmingham 016B,-1.91665,52.5433,24.221
E01009244,Birmingham 019C,-1.9065,52.5394,21.978
E01009245,Birmingham 016C,-1.92682,52.5433,25.666
E01009246,Birmingham 016D,-1.92239,52.5415,20.209
E01009247,Birmingham 016E,-1.91847,52.5383,20.109
E01009248,Birmingham 019D,-1.90026,52.5361,24.066
E01009249,Birmingham 080A,-1.99677,52.4572,25.398
E01009250,Birmingham 080B,-2.00817,52.4579,24.213
E01009251,Birmingham 080C,-1.99736,52.4622,15.845
E01009252,Birmingham 073C,-1.97133,52.4624,12.231
E01009253,Birmingham 080D,-2.00215,52.4584,20.238
E01009254,Birmingham 085C,-1.97887,52.4611,42.145
E01009255,Birmingham 080E,-1.98733,52.4536,31.549
E01009256,Birmingham 085D,-1.98445,52.4577,30.772
E01009257,Birmingham 080F,-1.99468,52.4549,48.577
E01009258,Birmingham 085E,-1.98298,52.4516,55.39
E01009259,Birmingham 094E,-2.00075,52.4514,59.739
E01009260,Birmingham 073D,-1.97255,52.467,13.192
E01009261,Birmingham 073E,-1.9825,52.4633,19.121
E01009262,Birmingham 133A,-1.92313,52.5203,20.299
E01009263,Birmingham 032C,-1.92566,52.5161,36.934
E01009264,Birmingham 032D,-1.93553,52.5159,32.155
E01009265,Birmingham 032E,-1.93026,52.5139,38.104
E01009266,Birmingham 034A,-1.93832,52.5139,39.463
E01009267,Birmingham 133B,-1.93428,52.5207,20.202
E01009268,Birmingham 036A,-1.94949,52.513,26.772
E01009269,Birmingham 034B,-1.94396,52.5161,44.829
